,Iterations,Execution time (s)
0,10,7.887805461883545
1,20,16.357067823410034
2,30,23.564514636993408
3,40,32.31231451034546
4,50,37.9865608215332
5,60,44.76945662498474
6,70,52.289332151412964
7,80,59.86462378501892
8,90,67.21095275878906
9,100,77.0358715057373
10,200,145.4363353252411
11,300,215.95326805114746
12,400,287.63058400154114
13,500,361.2914364337921
15,700,503.46501564979553
16,800,576.6716718673706
17,900,647.1751980781555
18,1000,719.8551254272461
19,2000,1440.5576148033142
22,5000,3597.1957466602325
23,6000,4316.091988325119
24,7000,5033.913632154465
25,8000,5757.992272615433
27,10000,7202.39351272583
